branch,name,slug,cid,parent,nest
Artificial Intelligence Software,AI SDK Software,/categories/ai-sdk,1013295,Generative AI Software,1
Artificial Intelligence Software,AI Search & Retrieval Infrastructure Platforms Software,/categories/ai-search-retrieval-infrastructure-platforms,1013031,Generative AI Software,1
Artificial Intelligence Software,AI Software Testing Tools,/categories/ai-software-testing-tools,1011314,Generative AI Software,1
Artificial Intelligence Software,Generative AI Infrastructure Software,/categories/generative-ai-infrastructure,1006880,Generative AI Software,1
Artificial Intelligence Software,Large Language Model Operationalization (LLMOps) Software,/categories/large-language-model-operationalization-llmops,1009692,Generative AI Software,1
Artificial Intelligence Software,Large Language Models (LLMs) Software,/categories/large-language-models-llms,1006318,Generative AI Software,1
Artificial Intelligence Software,Small Language Models (SLMs),/categories/small-language-models-slms,1011809,Generative AI Software,1
Artificial Intelligence Software,Synthetic Media Software,/categories/synthetic-media,1004628,Generative AI Software,1
Artificial Intelligence Software,AI Content Detectors Software,/categories/ai-content-detectors,1007475,Synthetic Media Software,1
Artificial Intelligence Software,AI Video Generators,/categories/ai-video-generators,1006582,Synthetic Media Software,1
Artificial Intelligence Software,Other Synthetic Media Software,/categories/other-synthetic-media,1006714,Synthetic Media Software,1
Artificial Intelligence Software,Text to Speech Software,/categories/text-to-speech,2391,Synthetic Media Software,1
Artificial Intelligence Software,Low-Code Machine Learning Platforms Software,/categories/low-code-machine-learning-platforms,1011941,Artificial Intelligence Software,0
Artificial Intelligence Software,Machine Learning Software,/categories/machine-learning,684,Artificial Intelligence Software,0
Artificial Intelligence Software,MLOps Platforms,/categories/mlops-platforms,1910,Artificial Intelligence Software,0
Artificial Intelligence Software,Non-Human Identity Management (NHIM) Solutions,/categories/non-human-identity-management-nhim-solutions,1012535,Artificial Intelligence Software,0
Artificial Intelligence Software,Prompt Management Tools Software,/categories/prompt-management-tools,1011149,Artificial Intelligence Software,0
Artificial Intelligence Software,Proofreading Software,/categories/proofreading,2382,Artificial Intelligence Software,0
Artificial Intelligence Software,Smart Spaces Software,/categories/smart-spaces,1013660,Artificial Intelligence Software,0
Artificial Intelligence Software,Synthetic Data Tools,/categories/synthetic-data,2433,Artificial Intelligence Software,0
Artificial Intelligence Software,Text-to-Music,/categories/text-to-music,1011215,Artificial Intelligence Software,0
Artificial Intelligence Software,Video Surveillance Software,/categories/video-surveillance,2839,Artificial Intelligence Software,0
Artificial Intelligence Software,Video Translation Software,/categories/video-translation-software,1008899,Artificial Intelligence Software,0
Ecosystem Service Providers,Datadog Consulting Services,/categories/datadog-consulting-services,1010221,Ecosystem Service Providers,0
Ecosystem Service Providers,Adobe Consulting Services,/categories/adobe-consulting-services,1004496,Ecosystem Service Providers,0
Ecosystem Service Providers,Anthropic Claude Consulting Services,/categories/anthropic-claude-consulting-services,1014847,Ecosystem Service Providers,0
Ecosystem Service Providers,Atlassian Consulting Services,/categories/atlassian-consulting-services,1010154,Ecosystem Service Providers,0
Ecosystem Service Providers,AWS Consulting Services,/categories/aws-consulting-services,1005591,Ecosystem Service Providers,0
Ecosystem Service Providers,Braze Consulting Services,/categories/braze-consulting-services,1007409,Ecosystem Service Providers,0
Ecosystem Service Providers,Citrix Consulting Services,/categories/citrix-consulting-services,1007541,Ecosystem Service Providers,0
Ecosystem Service Providers,Databricks Consulting Services Provider,/categories/databricks-consulting-services,1014255,Ecosystem Service Providers,0
Ecosystem Service Providers,DataRobot Consulting Services,/categories/datarobot-consulting-services,1008766,Ecosystem Service Providers,0
Ecosystem Service Providers,Dayforce Consulting Services,/categories/dayforce-consulting-services,1007310,Ecosystem Service Providers,0
Ecosystem Service Providers,Deltek Resellers,/categories/deltek-resellers,963,Ecosystem Service Providers,0
Ecosystem Service Providers,Genesys Consulting Services,/categories/genesys-consulting-services,1007045,Ecosystem Service Providers,0
Ecosystem Service Providers,Google Consulting Services,/categories/google-consulting-services,1004133,Ecosystem Service Providers,0
Ecosystem Service Providers,HubSpot Consulting Services,/categories/hubspot-consulting-services,1003572,Ecosystem Service Providers,0
Ecosystem Service Providers,IBM Consulting Services,/categories/ibm-consulting-services,1005757,Ecosystem Service Providers,0
Ecosystem Service Providers,Infor Consulting Services,/categories/infor-consulting-services,1006781,Ecosystem Service Providers,0
Ecosystem Service Providers,Microsoft Ecosystem Services,/categories/microsoft-ecosystem-services,1008301,Ecosystem Service Providers,0
Ecosystem Service Providers,Microsoft Consulting Services,/categories/microsoft-consulting-services,1003242,Microsoft Ecosystem Services,1
Ecosystem Service Providers,Microsoft Resellers,/categories/microsoft-resellers,1008268,Microsoft Ecosystem Services,1
Ecosystem Service Providers,NetSuite Ecosystem Services,/categories/netsuite-ecosystem-services,1008400,Ecosystem Service Providers,0
Ecosystem Service Providers,NetSuite Consulting Services,/categories/netsuite-consulting-services,1007012,NetSuite Ecosystem Services,1
Ecosystem Service Providers,NetSuite Resellers,/categories/netsuite-resellers,946,NetSuite Ecosystem Services,1
Ecosystem Service Providers,Oracle Consulting Services,/categories/oracle-consulting-services,1003638,Ecosystem Service Providers,0
Ecosystem Service Providers,Oracle Resellers,/categories/oracle-resellers,1008998,Ecosystem Service Providers,0
Ecosystem Service Providers,Sage Resellers,/categories/sage-resellers,1008965,Ecosystem Service Providers,0
Ecosystem Service Providers,Salesforce Consulting Services,/categories/salesforce-consulting-services,1003047,Ecosystem Service Providers,0
Ecosystem Service Providers,SAP Consulting Services,/categories/sap-consulting-services,1003275,Ecosystem Service Providers,0
Ecosystem Service Providers,SAP Resellers,/categories/sap-resellers,1008433,Ecosystem Service Providers,0
Ecosystem Service Providers,ServiceNow Consulting Services,/categories/servicenow-consulting-services,1005988,Ecosystem Service Providers,0
Ecosystem Service Providers,Snowflake Consulting Services,/categories/snowflake-consulting-services,1008004,Ecosystem Service Providers,0
Ecosystem Service Providers,UKG Consulting Services,/categories/ukg-consulting-services,1006351,Ecosystem Service Providers,0
Ecosystem Service Providers,Workday Consulting Services,/categories/workday-consulting-services,1004595,Ecosystem Service Providers,0
Sales Tools,CRM Software,/categories/crm,179,Sales Tools,0
Sales Tools,Sales Compensation Software,/categories/sales-compensation,42,Sales Tools,0
Sales Tools,AI Sales Assistant Software,/categories/ai-sales-assistant,1389,Sales Tools,0
Sales Tools,Auto Dialer Software,/categories/auto-dialer,1386,Sales Tools,0
Sales Tools,Contract Analytics Software,/categories/contract-analytics,2388,Sales Tools,0
Sales Tools,Contract Lifecycle Management (CLM) Software,/categories/contract-lifecycle-management-clm,2389,Sales Tools,0
Sales Tools,Contract Management Software,/categories/contract-management,4,Sales Tools,0
Sales Tools,Customer Revenue Optimization (CRO) Software,/categories/customer-revenue-optimization,2050,Sales Tools,0
Sales Tools,E-Signature Software,/categories/e-signature,152,Sales Tools,0
Sales Tools,Field Sales Software,/categories/field-sales,1189,Sales Tools,0
Sales Tools,Other Sales Software,/categories/other-sales,614,Sales Tools,0
Sales Tools,Partnerships Management,/categories/partnerships-management,1008866,Sales Tools,0
Sales Tools,Channel Incentives Management (CIM) Software,/categories/channel-incentives-management-cim,1005326,Partnerships Management,1
Sales Tools,Cloud GTM Platforms,/categories/cloud-gtm-platforms,1007739,Partnerships Management,1
Sales Tools,Partner Ecosystem Platforms Software,/categories/partner-ecosystem-platforms,2784,Partnerships Management,1
Sales Tools,Partner Relationship Management (PRM) Software,/categories/partner-relationship-management-prm,56,Partnerships Management,1
Sales Tools,Through-Channel Marketing Software,/categories/through-channel-marketing,2098,Partnerships Management,1
Sales Tools,Presales Software,/categories/presales,2880,Sales Tools,0
Sales Tools,Demo Automation Software,/categories/demo-automation,1004926,Presales Software,1
Sales Tools,PreSales Management Software,/categories/presales-management,1004927,Presales Software,1
Sales Tools,Value Selling Tools,/categories/value-selling-tools,1008202,Presales Software,1
Sales Tools,Quote Management Software,/categories/quote-management,606,Sales Tools,0
Sales Tools,CPQ Software,/categories/cpq,26,Quote Management Software,1
Sales Tools,Pricing Software,/categories/pricing,49,Quote Management Software,1
Sales Tools,Proposal Software,/categories/proposal,57,Quote Management Software,1
Sales Tools,Quote-to-Cash Software,/categories/quote-to-cash,1751,Quote Management Software,1
Sales Tools,Visual Configuration Software,/categories/visual-configuration,1451,Quote Management Software,1
Sales Tools,Revenue AI Platforms,/categories/revenue-ai-platforms,1012766,Sales Tools,0
Sales Tools,Revenue Operations & Intelligence (RO&I) Software,/categories/revenue-operations-intelligence-ro-i,2641,Sales Tools,0
Sales Tools,Sales Acceleration Software,/categories/sales-acceleration,607,Sales Tools,0
Sales Tools,AI Sales Roleplay Tools,/categories/ai-sales-roleplay-tools,1013858,Sales Acceleration Software,1
Sales Tools,Conversation Intelligence Software,/categories/conversation-intelligence,1567,Sales Acceleration Software,1
Sales Tools,Digital Sales Room Software,/categories/digital-sales-room,2699,Sales Acceleration Software,1
Sales Tools,Email Tracking Software,/categories/email-tracking,271,Sales Acceleration Software,1
Sales Tools,Lead-to-Account Matching and Routing Software,/categories/lead-to-account-matching-and-routing,2491,Sales Acceleration Software,1
Sales Tools,Outbound Call Tracking Software,/categories/outbound-call-tracking,628,Sales Acceleration Software,1
Sales Tools,Sales Coaching Software,/categories/sales-coaching,1034,Sales Acceleration Software,1
Sales Tools,Sales Enablement Software,/categories/sales-enablement,1033,Sales Acceleration Software,1
Sales Tools,Sales Engagement Software,/categories/sales-engagement,1400,Sales Acceleration Software,1
Sales Tools,Salesforce CRM Document Generation Software,/categories/salesforce-crm-document-generation,1119,Sales Acceleration Software,1
Sales Tools,Sales Performance Management Software,/categories/sales-performance-management,245,Sales Acceleration Software,1
Sales Tools,Sales Planning Software,/categories/sales-planning,1004265,Sales Acceleration Software,1
Sales Tools,Sales Training and Onboarding Software,/categories/sales-training-and-onboarding,1358,Sales Acceleration Software,1
Sales Tools,Sales Analytics Software,/categories/sales-analytics,626,Sales Tools,0
Sales Tools,Sales Gamification Software,/categories/sales-gamification,253,Sales Tools,0
Sales Tools,Sales Intelligence Software,/categories/sales-intelligence,46,Sales Tools,0
Marketing Services Providers,Affiliate Marketing Companies,/categories/affiliate-marketing-agencies,2750,Marketing Services Providers,0
Marketing Services Providers,Amazon Marketing Services Providers,/categories/amazon-marketing-services,1870,Marketing Services Providers,0
Marketing Services Providers,Analyst Relations (AR) Agencies,/categories/analyst-relations-ar-agencies,1014188,Marketing Services Providers,0
Marketing Services Providers,Brand Advocacy Services,/categories/brand-advocacy-services,1005691,Marketing Services Providers,0
Marketing Services Providers,Branding Agencies,/categories/branding-agencies,785,Marketing Services Providers,0
Marketing Services Providers,Event Management Services Providers,/categories/event-management-services,1722,Marketing Services Providers,0
Marketing Services Providers,Inbound Marketing Services,/categories/inbound-marketing,779,Marketing Services Providers,0
Marketing Services Providers,Content Marketing Agencies,/categories/content-marketing-agencies,780,Inbound Marketing Services,1
Marketing Services Providers,Search Engine Marketing (SEM) Agencies,/categories/search-engine-marketing-sem,781,Inbound Marketing Services,1
Marketing Services Providers,PPC Agencies,/categories/ppc-services,783,Search Engine Marketing (SEM) Agencies,1
Marketing Services Providers,SEO Services Providers,/categories/seo-services,782,Search Engine Marketing (SEM) Agencies,1
Marketing Services Providers,Social Media Marketing (SMM) Companies,/categories/social-media-marketing-smm-companies,784,Inbound Marketing Services,1
Marketing Services Providers,Lead Generation Companies,/categories/lead-generation-services,1377,Marketing Services Providers,0
Marketing Services Providers,Marketing Analytics Service Providers,/categories/marketing-analytics-services,1450,Marketing Services Providers,0
Marketing Services Providers,Marketing Automation Consulting Providers,/categories/marketing-automation-consulting,1076,Marketing Services Providers,0
Marketing Services Providers,Marketing Strategy Agencies,/categories/marketing-strategy,787,Marketing Services Providers,0
Marketing Services Providers,Market Research Companies,/categories/market-research-services,1702,Marketing Services Providers,0
Marketing Services Providers,Other Marketing Services Providers,/categories/other-marketing-services,228,Marketing Services Providers,0
Marketing Services Providers,Outbound Marketing Services,/categories/outbound-marketing,772,Marketing Services Providers,0
Marketing Services Providers,Advertising Agencies,/categories/advertising-agencies,773,Outbound Marketing Services,1
Marketing Services Providers,Digital Marketing Services,/categories/digital-marketing,774,Advertising Agencies,1
Marketing Services Providers,Experiential Marketing Agencies,/categories/experiential-marketing-agencies,775,Advertising Agencies,1
Marketing Services Providers,Traditional Advertising Agencies,/categories/traditional-advertising,776,Advertising Agencies,1
Marketing Services Providers,Email Marketing Services Providers,/categories/email-marketing-services,777,Outbound Marketing Services,1
Marketing Services Providers,Mobile Marketing Companies,/categories/mobile-marketing-companies,778,Outbound Marketing Services,1
Marketing Services Providers,PR Firms,/categories/pr-firms,786,Marketing Services Providers,0
Marketing Services Providers,Reputation Management Services Providers,/categories/reputation-management-services,1721,Marketing Services Providers,0
Marketing Software,Account-Based Marketing Software,/categories/account-based-marketing,490,Marketing Software,0
Marketing Software,Account-Based Analytics Software,/categories/account-based-analytics,1038,Account-Based Marketing Software,1
Marketing Software,Account-Based Data  Software,/categories/account-based-data,2186,Account-Based Marketing Software,1
Marketing Software,Buyer Intent Data Providers,/categories/buyer-intent-data-providers,1990,Account-Based Data  Software,1
Marketing Software,Competitive Intelligence Tools,/categories/competitive-intelligence,2131,Account-Based Data  Software,1
Marketing Software,Marketing Account Intelligence Software,/categories/marketing-account-intelligence,1037,Account-Based Data  Software,1
Marketing Software,Account-Based Execution Software,/categories/account-based-execution,1039,Account-Based Marketing Software,1
Marketing Software,Account-Based Advertising Software,/categories/account-based-advertising,2183,Account-Based Execution Software,1
Marketing Software,Account-Based Direct Mail Software,/categories/account-based-direct-mail,2184,Account-Based Execution Software,1
Marketing Software,Account-Based Web and Content Experiences Software,/categories/account-based-web-and-content-experiences,2185,Account-Based Execution Software,1
Marketing Software,Attribution Software,/categories/attribution,367,Account-Based Execution Software,1
Marketing Software,Account-Based Orchestration Platforms,/categories/account-based-orchestration-platforms,2182,Account-Based Marketing Software,1
Marketing Software,Account Data Management Software,/categories/account-data-management,1036,Account-Based Marketing Software,1
Marketing Software,Affiliate Marketing Software,/categories/affiliate-marketing,1850,Marketing Software,0
Marketing Software,App Store Optimization Software,/categories/app-store-optimization,1709,Marketing Software,0
Marketing Software,Audience Intelligence Platforms,/categories/audience-intelligence-platforms,2434,Marketing Software,0
Marketing Software,B2B Services Review Platforms,/categories/b2b-services-review-platforms,2176,Marketing Software,0
Marketing Software,Blogger Outreach Software,/categories/blogger-outreach,1883,Marketing Software,0
Marketing Software,Book Marketing Tools,/categories/book-marketing-tools,2268,Marketing Software,0
Marketing Software,Brand Intelligence Software,/categories/brand-intelligence,1003308,Marketing Software,0
Marketing Software,Consumer Insights Platforms,/categories/consumer-insights-platforms,1012139,Marketing Software,0
Marketing Software,Consumer Video Feedback Software,/categories/consumer-video-feedback,2048,Marketing Software,0
Marketing Software,Content Curation Tools,/categories/content-curation,2366,Marketing Software,0
Marketing Software,Content Marketing Software,/categories/content-marketing,242,Marketing Software,0
Marketing Software,Content Analytics Software,/categories/content-analytics,618,Content Marketing Software,1
Marketing Software,Content Creation Software,/categories/content-creation,1558,Content Marketing Software,1
Marketing Software,Content Distribution Software,/categories/content-distribution,1560,Content Marketing Software,1
Marketing Software,Content Experience Platforms,/categories/content-experience-platforms,1559,Content Marketing Software,1
Marketing Software,Owned Media Software,/categories/owned-media,1006847,Content Marketing Software,1
Marketing Software,Conversational Marketing Software,/categories/conversational-marketing,1346,Marketing Software,0
Marketing Software,Conversion Rate Optimization Tools,/categories/conversion-rate-optimization-tools,272,Marketing Software,0
Marketing Software,A/B Testing Tools,/categories/a-b-testing-tools,630,Conversion Rate Optimization Tools,1
Marketing Software,Customer Journey Mapping Tools,/categories/customer-journey-mapping,2108,Conversion Rate Optimization Tools,1
Marketing Software,Heatmap Tools,/categories/heatmap-tools,631,Conversion Rate Optimization Tools,1
Marketing Software,Landing Page Builders,/categories/landing-page-builders,632,Conversion Rate Optimization Tools,1
Marketing Software,Other Conversion Rate Optimization Software,/categories/other-conversion-rate-optimization,633,Conversion Rate Optimization Tools,1
Marketing Software,Product Analytics Software,/categories/product-analytics,1571,Conversion Rate Optimization Tools,1
Marketing Software,Session Replay Software,/categories/session-replay,1398,Conversion Rate Optimization Tools,1
Marketing Software,Customer Data Platforms (CDP),/categories/customer-data-platform-cdp,1202,Marketing Software,0
Marketing Software,Customer Journey Analytics Software,/categories/customer-journey-analytics,1224,Marketing Software,0
Marketing Software,Customer-to-Customer (C2C) Community Marketing Software,/categories/customer-to-customer-c2c-community-marketing,1851,Marketing Software,0
Marketing Software,Demand Generation Software,/categories/demand-generation,48,Marketing Software,0
Marketing Software,Brand Advocacy Software,/categories/brand-advocacy,489,Demand Generation Software,1
Marketing Software,Customer Advocacy Software,/categories/customer-advocacy,1435,Brand Advocacy Software,1
Marketing Software,Employee Advocacy Software,/categories/employee-advocacy,1436,Brand Advocacy Software,1
Marketing Software,Lead Generation Software,/categories/lead-generation,230,Demand Generation Software,1
Marketing Software,Lead Capture Software,/categories/lead-capture,493,Lead Generation Software,1
Marketing Software,Lead Intelligence Software,/categories/lead-intelligence,497,Lead Generation Software,1
Marketing Software,Lead Mining Software,/categories/lead-mining,498,Lead Generation Software,1
Marketing Software,Lead Scoring Software,/categories/lead-scoring,495,Lead Generation Software,1
Marketing Software,Other Lead Generation Software,/categories/other-lead-generation,496,Lead Generation Software,1
Marketing Software,Visitor Identification Software,/categories/visitor-identification,494,Lead Generation Software,1
Marketing Software,Loyalty Management Software,/categories/loyalty-management,1188,Demand Generation Software,1
Marketing Software,Digital Analytics Software,/categories/digital-analytics,11,Marketing Software,0
Marketing Software,Digital Product Sampling Software,/categories/digital-product-sampling,1010353,Marketing Software,0
Marketing Software,Digital Signage Software,/categories/digital-signage,259,Marketing Software,0
Marketing Software,Direct Mail Automation Software,/categories/direct-mail-automation,1664,Marketing Software,0
Marketing Software,Email Deliverability Tools,/categories/email-deliverability,1392,Marketing Software,0
Marketing Software,Email Marketing Software,/categories/email-marketing,39,Marketing Software,0
Marketing Software,Email Signature Software,/categories/email-signature,1126,Marketing Software,0
Marketing Software,Email Template Builder Software,/categories/email-template-builder,1694,Marketing Software,0
Marketing Software,Email Testing Software,/categories/email-testing,1786,Marketing Software,0
Marketing Software,Event Management Software,/categories/event-management,53,Marketing Software,0
Marketing Software,Audience Response Software,/categories/audience-response,475,Event Management Software,1
Marketing Software,Box Office Software,/categories/box-office,1003143,Event Management Software,1
Marketing Software,Event Lead Capture Software,/categories/event-lead-capture,1014948,Event Management Software,1
Marketing Software,Event Management Platforms,/categories/event-management-platforms,321,Event Management Software,1
Marketing Software,Event Marketing Software,/categories/event-marketing,1758,Event Management Software,1
Marketing Software,Event Networking and Matchmaking,/categories/event-networking-and-matchmaking,1394,Event Management Software,1
Marketing Software,Event Planning Software,/categories/event-planning,478,Event Management Software,1
Marketing Software,Event Registration and Ticketing Software,/categories/event-registration-ticketing,319,Event Management Software,1
Marketing Software,Lead Retrieval Software,/categories/lead-retrieval,1527,Event Management Software,1
Marketing Software,Mobile Event Apps,/categories/mobile-event-apps,320,Event Management Software,1
Marketing Software,Other Event Management Software,/categories/other-event-management,477,Event Management Software,1
Marketing Software,Trade Show and Exhibition Solutions,/categories/trade-show-and-exhibition-solutions,1013726,Event Management Software,1
Marketing Software,Venue Management Software,/categories/venue-management,1378,Event Management Software,1
Marketing Software,Virtual Event Platforms,/categories/virtual-event-platforms,2376,Event Management Software,1
Marketing Software,Gamification Software,/categories/gamification,155,Marketing Software,0
Marketing Software,Inbound Call Tracking Software,/categories/inbound-call-tracking,627,Marketing Software,0
Marketing Software,Local Marketing Software,/categories/local-marketing,20,Marketing Software,0
Marketing Software,Local Listing Management Software,/categories/local-listing-management,1258,Local Marketing Software,1
Marketing Software,Local SEO Software,/categories/local-seo,1191,Local Marketing Software,1
Marketing Software,Store Locator Software,/categories/store-locator,1645,Local Marketing Software,1
Marketing Software,Location-Based Marketing Software,/categories/location-based-marketing,1455,Marketing Software,0
Marketing Software,Marketing Analytics Software,/categories/marketing-analytics,624,Marketing Software,0
Marketing Software,Marketing Automation Software,/categories/marketing-automation,36,Marketing Software,0
Marketing Software,Marketing Calendar  Software,/categories/marketing-calendar,2231,Marketing Software,0
Marketing Software,Marketing Resource Management Software,/categories/marketing-resource-management,7,Marketing Software,0
Marketing Software,Market Intelligence Software,/categories/market-intelligence,623,Marketing Software,0
Marketing Software,Mobile Attribution Platforms,/categories/mobile-attribution,2060,Marketing Software,0
Marketing Software,Mobile Marketing Software,/categories/mobile-marketing,71,Marketing Software,0
Marketing Software,Multi-level Marketing (MLM) Software,/categories/multi-level-marketing-mlm,872,Marketing Software,0
Marketing Software,Multi-Location Marketing Platforms,/categories/multi-location-marketing-platforms,1004661,Marketing Software,0
Marketing Software,Online Community Management Software,/categories/online-community-management,297,Marketing Software,0
Marketing Software,Online Reputation Management Software,/categories/online-reputation-management,262,Marketing Software,0
Marketing Software,Other Marketing Software,/categories/other-marketing,617,Marketing Software,0
Marketing Software,Personalization Software,/categories/personalization,1674,Marketing Software,0
Marketing Software,Personalization Engines,/categories/personalization-engines,1673,Marketing Software,0
Marketing Software,Pop-Up Builder Software,/categories/pop-up-builder,2123,Marketing Software,0
Marketing Software,Print Fulfillment Software,/categories/print-fulfillment-services,6,Marketing Software,0
Marketing Software,Promotional Product Management Software,/categories/promotional-product-management,1946,Marketing Software,0
Marketing Software,Public Relations (PR) Software,/categories/public-relations-pr,182,Marketing Software,0
Marketing Software,Media and Influencer Targeting Software,/categories/media-and-influencer-targeting,349,Public Relations (PR) Software,1
Marketing Software,Media Monitoring Software,/categories/media-monitoring,350,Public Relations (PR) Software,1
Marketing Software,Online Newsroom Software,/categories/online-newsroom,1004960,Public Relations (PR) Software,1
Marketing Software,Other Public Relations Software,/categories/other-public-relations,370,Public Relations (PR) Software,1
Marketing Software,PR Analytics Software,/categories/pr-analytics,348,Public Relations (PR) Software,1
Marketing Software,PR CRM Software,/categories/pr-crm,2242,Public Relations (PR) Software,1
Marketing Software,Press Release Distribution Software,/categories/press-release-distribution,347,Public Relations (PR) Software,1
Marketing Software,Push Notification Software,/categories/push-notification,1562,Marketing Software,0
Marketing Software,QR Code Generator Software,/categories/qr-code-generator,2837,Marketing Software,0
