branch,name,slug_short,slug,cid,parent,nest,verdict,clause,reason
Marketing Services Providers,Social Media Marketing (SMM) Companies,social-media-marketing-smm-companies,/categories/social-media-marketing-smm-companies,784,Inbound Marketing Services,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Marketing Analytics Service Providers,marketing-analytics-services,/categories/marketing-analytics-services,1450,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Marketing Automation Consulting Providers,marketing-automation-consulting,/categories/marketing-automation-consulting,1076,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Marketing Strategy Agencies,marketing-strategy,/categories/marketing-strategy,787,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Other Marketing Services Providers,other-marketing-services,/categories/other-marketing-services,228,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Outbound Marketing Services,outbound-marketing,/categories/outbound-marketing,772,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Advertising Agencies,advertising-agencies,/categories/advertising-agencies,773,Outbound Marketing Services,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Digital Marketing Services,digital-marketing,/categories/digital-marketing,774,Advertising Agencies,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Experiential Marketing Agencies,experiential-marketing-agencies,/categories/experiential-marketing-agencies,775,Advertising Agencies,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Traditional Advertising Agencies,traditional-advertising,/categories/traditional-advertising,776,Advertising Agencies,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Email Marketing Services Providers,email-marketing-services,/categories/email-marketing-services,777,Outbound Marketing Services,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Mobile Marketing Companies,mobile-marketing-companies,/categories/mobile-marketing-companies,778,Outbound Marketing Services,1,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Services Providers,Reputation Management Services Providers,reputation-management-services,/categories/reputation-management-services,1721,Marketing Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
Marketing Software,Account-Based Marketing Software,account-based-marketing,/categories/account-based-marketing,490,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Marketing Account Intelligence Software,marketing-account-intelligence,/categories/marketing-account-intelligence,1037,Account-Based Data  Software,1,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Marketing Software,Account-Based Advertising Software,account-based-advertising,/categories/account-based-advertising,2183,Account-Based Execution Software,1,BOUNDARY,BOUNDARY — ad-channel outbound,"Outbound and often driven by uploaded customer data, but the channel is an ad exchange and the target is a segment, not a record."
Marketing Software,Account-Based Direct Mail Software,account-based-direct-mail,/categories/account-based-direct-mail,2184,Account-Based Execution Software,1,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Affiliate Marketing Software,affiliate-marketing,/categories/affiliate-marketing,1850,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Audience Intelligence Platforms,audience-intelligence-platforms,/categories/audience-intelligence-platforms,2434,Marketing Software,0,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Marketing Software,B2B Services Review Platforms,b2b-services-review-platforms,/categories/b2b-services-review-platforms,2176,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Book Marketing Tools,book-marketing-tools,/categories/book-marketing-tools,2268,Marketing Software,0,BOUNDARY,"IN-clause, addressability disputed",Publishing to an audience rather than to stored individual records; some products in these categories do both.
Marketing Software,Consumer Video Feedback Software,consumer-video-feedback,/categories/consumer-video-feedback,2048,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Content Marketing Software,content-marketing,/categories/content-marketing,242,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Conversational Marketing Software,conversational-marketing,/categories/conversational-marketing,1346,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Customer Journey Mapping Tools,customer-journey-mapping,/categories/customer-journey-mapping,2108,Conversion Rate Optimization Tools,1,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Marketing Software,Customer Data Platforms (CDP),customer-data-platform-cdp,/categories/customer-data-platform-cdp,1202,Marketing Software,0,BOUNDARY,BOUNDARY case 4 — CDP sold with or without activation,The named boundary class. Whether activation is mandatory is exactly what the inclusion criteria decide.
Marketing Software,Customer Journey Analytics Software,customer-journey-analytics,/categories/customer-journey-analytics,1224,Marketing Software,0,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Marketing Software,Customer-to-Customer (C2C) Community Marketing Software,customer-to-customer-c2c-community-marketing,/categories/customer-to-customer-c2c-community-marketing,1851,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Loyalty Management Software,loyalty-management,/categories/loyalty-management,1188,Demand Generation Software,1,BOUNDARY,BOUNDARY case 3 — loyalty platform with messaging attached,The named boundary class.
Marketing Software,Direct Mail Automation Software,direct-mail-automation,/categories/direct-mail-automation,1664,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Email Deliverability Tools,email-deliverability,/categories/email-deliverability,1392,Marketing Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Marketing Software,Email Marketing Software,email-marketing,/categories/email-marketing,39,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Email Signature Software,email-signature,/categories/email-signature,1126,Marketing Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Marketing Software,Email Template Builder Software,email-template-builder,/categories/email-template-builder,1694,Marketing Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Marketing Software,Email Testing Software,email-testing,/categories/email-testing,1786,Marketing Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Marketing Software,Audience Response Software,audience-response,/categories/audience-response,475,Event Management Software,1,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Event Marketing Software,event-marketing,/categories/event-marketing,1758,Event Management Software,1,BOUNDARY,"IN-clause, addressability disputed",Publishing to an audience rather than to stored individual records; some products in these categories do both.
Marketing Software,Local Marketing Software,local-marketing,/categories/local-marketing,20,Marketing Software,0,BOUNDARY,"IN-clause, addressability disputed",Publishing to an audience rather than to stored individual records; some products in these categories do both.
Marketing Software,Location-Based Marketing Software,location-based-marketing,/categories/location-based-marketing,1455,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Marketing Analytics Software,marketing-analytics,/categories/marketing-analytics,624,Marketing Software,0,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Marketing Software,Marketing Automation Software,marketing-automation,/categories/marketing-automation,36,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Marketing Calendar  Software,marketing-calendar,/categories/marketing-calendar,2231,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Marketing Resource Management Software,marketing-resource-management,/categories/marketing-resource-management,7,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Mobile Marketing Software,mobile-marketing,/categories/mobile-marketing,71,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Multi-level Marketing (MLM) Software,multi-level-marketing-mlm,/categories/multi-level-marketing-mlm,872,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Multi-Location Marketing Platforms,multi-location-marketing-platforms,/categories/multi-location-marketing-platforms,1004661,Marketing Software,0,BOUNDARY,"IN-clause, addressability disputed",Publishing to an audience rather than to stored individual records; some products in these categories do both.
Marketing Software,Online Reputation Management Software,online-reputation-management,/categories/online-reputation-management,262,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Other Marketing Software,other-marketing,/categories/other-marketing,617,Marketing Software,0,BOUNDARY,Residual bucket,G2 rule: 'Other' holds products qualifying for no defined category. Contents unknowable without the product list.
Marketing Software,Personalization Software,personalization,/categories/personalization,1674,Marketing Software,0,BOUNDARY,"IN-clause, channel disputed","Behaviour-driven and data-driven, but the 'channel' is often the site itself rather than an outbound message."
Marketing Software,Personalization Engines,personalization-engines,/categories/personalization-engines,1673,Marketing Software,0,BOUNDARY,"IN-clause, channel disputed","Behaviour-driven and data-driven, but the 'channel' is often the site itself rather than an outbound message."
Marketing Software,Promotional Product Management Software,promotional-product-management,/categories/promotional-product-management,1946,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,PR CRM Software,pr-crm,/categories/pr-crm,2242,Public Relations (PR) Software,1,OUT,OUT-clause 2 — sales pipeline,Pipeline or sales-productivity tooling without outbound orchestration.
Marketing Software,Push Notification Software,push-notification,/categories/push-notification,1562,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,RCS Business Messaging Software,rcs-business-messaging,/categories/rcs-business-messaging,1011974,Marketing Software,0,BOUNDARY,BOUNDARY case 2 — delivery infrastructure moving up-stack,Transport without targeting logic is OUT; these categories contain both pure transport and products that have moved into orchestration.
Marketing Software,SMS Marketing Software,sms-marketing,/categories/sms-marketing,1781,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Marketing Software,Social Media Marketing Software,social-media-marketing,/categories/social-media-marketing,60,Marketing Software,0,BOUNDARY,"IN-clause, addressability disputed",Publishing to an audience rather than to stored individual records; some products in these categories do both.
Marketing Software,Influencer Marketing Platforms,influencer-marketing-platforms,/categories/influencer-marketing-platforms,681,Social Media Marketing Software,1,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Technology Review Platforms,technology-review-platforms,/categories/technology-review-platforms,1987,Marketing Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Marketing Software,Transactional Email Software,transactional-email,/categories/transactional-email,225,Marketing Software,0,BOUNDARY,BOUNDARY case 2 — delivery infrastructure moving up-stack,Transport without targeting logic is OUT; these categories contain both pure transport and products that have moved into orchestration.
Marketing Software,WhatsApp Marketing Software,whatsapp-marketing,/categories/whatsapp-marketing,1009427,Marketing Software,0,IN,IN-clause,"Primary function is orchestrating outbound or triggered customer communication on one or more channels, driven by stored customer data or behaviour."
Security Software,"Security Orchestration, Automation, and Response (SOAR) Software",security-orchestration-automation-and-response-soar,/categories/security-orchestration-automation-and-response-soar,2178,System Security Software,1,OUT,OUT — screen false positive,"Matched the name-level screen on a generic term (automation, notification, messaging, bot) in an unrelated technical context."
Security Software,Secure Code Review Software,secure-code-review,/categories/secure-code-review,2639,DevSecOps Software,1,OUT,OUT — screen false positive,"Matched the name-level screen on a generic term (automation, notification, messaging, bot) in an unrelated technical context."
Security Software,Email Security Software,email-security,/categories/email-security,1607,Security Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Security Software,Secure Email Gateway Software,secure-email-gateway,/categories/secure-email-gateway,1086,Email Security Software,1,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Security Software,Cloud Email Security Solutions,cloud-email-security,/categories/cloud-email-security,1833,Email Security Software,1,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Security Software,Email Anti-spam Software,email-anti-spam,/categories/email-anti-spam,1628,Email Security Software,1,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Security Software,Email Encryption Software,email-encryption,/categories/email-encryption,1627,Email Security Software,1,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Security Software,Intelligent Email Protection Software,intelligent-email-protection,/categories/intelligent-email-protection,2341,Email Security Software,1,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Security Software,Microsegmentation Software,microsegmentation,/categories/microsegmentation,2690,Network Security Software,1,OUT,OUT — screen false positive,"Matched the name-level screen on a generic term (automation, notification, messaging, bot) in an unrelated technical context."
Security Software,Bot Detection and Mitigation Software,bot-detection-and-mitigation,/categories/bot-detection-and-mitigation,1585,Web Security Software,1,OUT,OUT — screen false positive,"Matched the name-level screen on a generic term (automation, notification, messaging, bot) in an unrelated technical context."
B2B Marketplaces,Merchant Marketing Software,merchant-marketing,/categories/merchant-marketing,1390,B2B Marketplaces,0,BOUNDARY,"IN-clause, addressability disputed",Publishing to an audience rather than to stored individual records; some products in these categories do both.
Business Services Providers,Contact Center Consulting Providers,contact-center-consulting,/categories/contact-center-consulting,2264,Business Services Providers,0,SERVICES,n/a — not software,"G2 catalogues this as a service provider, not a product. Competitor class 3/4 — see the amendment-2 contradiction in the document."
CAD & PLM Software,Robotic Simulation Software,robotic-simulation-software,/categories/robotic-simulation-software,1012172,CAD & PLM Software,0,OUT,OUT — screen false positive,"Matched the name-level screen on a generic term (automation, notification, messaging, bot) in an unrelated technical context."
Collaboration & Productivity Software,Email Software,email,/categories/email,44,Collaboration & Productivity Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Collaboration & Productivity Software,Email Client Software,email-client,/categories/email-client,1965,Collaboration & Productivity Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Collaboration & Productivity Software,Email Management Software,email-management,/categories/email-management,2836,Collaboration & Productivity Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Collaboration & Productivity Software,Email Verification Software,email-verification,/categories/email-verification,1319,Collaboration & Productivity Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Collaboration & Productivity Software,Internal Communications Software,internal-communications,/categories/internal-communications,1526,Collaboration & Productivity Software,0,OUT,OUT — recipient is an employee,Internal communication. The scope is customer communication.
Collaboration & Productivity Software,Business Instant Messaging Software,business-instant-messaging,/categories/business-instant-messaging,2174,Internal Communications Software,1,OUT,OUT — recipient is an employee,Internal communication. The scope is customer communication.
Collaboration & Productivity Software,Employee Communications Software,employee-communications,/categories/employee-communications,2181,Internal Communications Software,1,OUT,OUT — recipient is an employee,Internal communication. The scope is customer communication.
Collaboration & Productivity Software,Frontline Worker Communication Platforms Software,frontline-worker-communication-platforms,/categories/frontline-worker-communication-platforms,1007772,Internal Communications Software,1,OUT,OUT — recipient is an employee,Internal communication. The scope is customer communication.
Collaboration & Productivity Software,Internal Newsletter Software,internal-newsletter-software,/categories/internal-newsletter-software,1007773,Collaboration & Productivity Software,0,OUT,OUT — recipient is an employee,Internal communication. The scope is customer communication.
Collaboration & Productivity Software,Other Email Software,other-email,/categories/other-email,644,Collaboration & Productivity Software,0,OUT,OUT-clause 3 — transport/infrastructure,"Transport, security or authoring without targeting logic."
Collaboration & Productivity Software,Productivity Bots Software,productivity-bots,/categories/productivity-bots,1122,Collaboration & Productivity Software,0,OUT,OUT — recipient is an employee,Internal communication. The scope is customer communication.
Collaboration & Productivity Software,Survey Software,survey,/categories/survey,28,Collaboration & Productivity Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Collaboration & Productivity Software,Video Communications Software,video-communications,/categories/video-communications,1002912,Collaboration & Productivity Software,0,OUT,OUT — recipient is an employee,Internal communication. The scope is customer communication.
Collaboration & Productivity Software,Video Email Software,video-email,/categories/video-email,2486,Collaboration & Productivity Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Commerce Software,Trade Promotion Management Software,trade-promotion-management,/categories/trade-promotion-management,1405,Consumer Goods Software,1,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Commerce Software,Multichannel Retail Software,multichannel-retail,/categories/multichannel-retail,359,E-Commerce Software,1,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Commerce Software,Review Management Software,review-management-software,/categories/review-management-software,96,E-Commerce Software,1,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Commerce Software,Subscription Management Software,subscription-management,/categories/subscription-management,81,E-Commerce Software,1,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Commerce Software,Conversational Commerce Platforms,conversational-commerce-platforms,/categories/conversational-commerce-platforms,1011017,E-Commerce Software,1,IN,IN-clause,Orchestrates outbound sequences to stored contacts across channels.
Commerce Software,E-Commerce Personalization Software,e-commerce-personalization,/categories/e-commerce-personalization,1528,E-Commerce Software,1,BOUNDARY,"IN-clause, channel disputed","Behaviour-driven and data-driven, but the 'channel' is often the site itself rather than an outbound message."
Commerce Software,Subscription Analytics Software,subscription-analytics,/categories/subscription-analytics,1331,E-Commerce Software,1,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Commerce Software,Subscription Billing Software,subscription-billing,/categories/subscription-billing,1545,E-Commerce Software,1,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Commerce Software,Subscription Revenue Management Software,subscription-revenue-management,/categories/subscription-revenue-management,1362,E-Commerce Software,1,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Commerce Software,Omnichannel Commerce Software,omnichannel-commerce,/categories/omnichannel-commerce,2113,Commerce Software,0,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Content Management Systems,Mobile Forms Automation Software,mobile-forms-automation,/categories/mobile-forms-automation,1044,Content Management Systems,0,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Customer Service Software,Live Chat Software,live-chat,/categories/live-chat,191,Customer Service Software,0,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Customer Service Software,Appointment Reminder Software,appointment-reminder,/categories/appointment-reminder,2226,Customer Service Software,0,IN,IN-clause,Triggered outbound customer communication driven by stored customer data; service-desk framing does not change the function.
Customer Service Software,Call & Contact Center Software,call-contact-center,/categories/call-contact-center,202,Customer Service Software,0,OUT,OUT — screen false positive,"Matched the name-level screen on a generic term (automation, notification, messaging, bot) in an unrelated technical context."
Customer Service Software,Contact Center Software,contact-center,/categories/contact-center,29,Call & Contact Center Software,1,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Customer Service Software,Contact Center AI Observability Software,contact-center-ai-observability,/categories/contact-center-ai-observability,1011578,Call & Contact Center Software,1,OUT,OUT — contact-centre back office,"Quality, staffing and knowledge functions, not outbound orchestration."
Customer Service Software,Contact Center Knowledge Base Software,contact-center-knowledge-base,/categories/contact-center-knowledge-base,1529,Call & Contact Center Software,1,OUT,OUT — contact-centre back office,"Quality, staffing and knowledge functions, not outbound orchestration."
Customer Service Software,Contact Center Quality Assurance Software,contact-center-quality-assurance,/categories/contact-center-quality-assurance,1989,Call & Contact Center Software,1,OUT,OUT — contact-centre back office,"Quality, staffing and knowledge functions, not outbound orchestration."
Customer Service Software,Contact Center Workforce Software,contact-center-workforce,/categories/contact-center-workforce,54,Call & Contact Center Software,1,OUT,OUT — contact-centre back office,"Quality, staffing and knowledge functions, not outbound orchestration."
Customer Service Software,Contact Center Outsourcing Service Providers,contact-center-outsourcing-services,/categories/contact-center-outsourcing-services,2328,Customer Service Software,0,OUT,OUT — screen false positive,"Matched the name-level screen on a generic term (automation, notification, messaging, bot) in an unrelated technical context."
Customer Service Software,Contact Center Payments Software,contact-center-payments,/categories/contact-center-payments,1008733,Customer Service Software,0,OUT,OUT — different job,"Commerce, billing or workflow function; not customer-communication orchestration."
Customer Service Software,Conversational Support Software,conversational-support,/categories/conversational-support,1896,Customer Service Software,0,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Customer Service Software,Customer Communications Management Software,customer-communications-management,/categories/customer-communications-management,1886,Customer Service Software,0,IN,IN-clause,Triggered outbound customer communication driven by stored customer data; service-desk framing does not change the function.
Customer Service Software,Customer Service Automation Software,customer-service-automation,/categories/customer-service-automation,1005823,Customer Service Software,0,BOUNDARY,"IN-clause, direction disputed",Predominantly inbound response; outbound/triggered capability exists in part of each category.
Customer Service Software,Enterprise Feedback Management Software,enterprise-feedback-management,/categories/enterprise-feedback-management,32,Customer Service Software,0,OUT,OUT — not outbound orchestration,"Partner, reputation, feedback, content-production or planning functions; no orchestration of communication to stored customer records."
Customer Service Software,Feedback Analytics Software,feedback-analytics,/categories/feedback-analytics,2506,Customer Service Software,0,OUT,OUT-clause 1 — analytics/BI,Measurement without activation.
Customer Service Software,Proactive Customer Retention Software,proactive-customer-retention,/categories/proactive-customer-retention,1003539,Customer Service Software,0,IN,IN-clause,Triggered outbound customer communication driven by stored customer data; service-desk framing does not change the function.
